face,eye1,eye2,nose,mouth,name,box,tag,isFace
3.45160502,0,0,0,0,dataset/images/maksssksksss10.png,"[81, 248, 126, 126]",1,1
6.154465202,0.847797334,0,0,0,dataset/images/maksssksksss100.png,"[183, 19, 67, 67]",1,1
2.288455076,0,0,0.037503381,0,dataset/images/maksssksksss103.png,"[286, 221, 60, 60]",0,0
2.923388095,1.542370647,0,0,0,dataset/images/maksssksksss103.png,"[253, 79, 53, 53]",1,1
5.327812096,2.430076435,0,0,0,dataset/images/maksssksksss107.png,"[112, 172, 114, 114]",1,1
0.40386604,0,0,0,0,dataset/images/maksssksksss109.png,"[275, 46, 83, 83]",0,0
-0.502753978,0,0,0,0,dataset/images/maksssksksss109.png,"[273, 157, 83, 83]",0,0
5.635218962,1.147779949,0.914713815,0,0,dataset/images/maksssksksss113.png,"[178, 83, 89, 89]",0,0
4.671876065,0.897326544,0,0,0.644131328,dataset/images/maksssksksss114.png,"[9, 84, 73, 73]",0,1
1.24482906,0,0,0,0,dataset/images/maksssksksss116.png,"[300, 56, 45, 45]",1,1
2.555636027,0,0,0,0,dataset/images/maksssksksss120.png,"[171, 245, 121, 121]",0,0
0.996657026,0,0,0,0,dataset/images/maksssksksss121.png,"[301, 56, 28, 28]",0,1
1.609689075,0,0,0,0,dataset/images/maksssksksss121.png,"[342, 68, 27, 27]",0,1
3.525406034,0,0,0,0,dataset/images/maksssksksss121.png,"[176, 49, 32, 32]",0,1
2.751413119,0,0,0,0,dataset/images/maksssksksss121.png,"[11, 43, 30, 30]",0,1
5.757521022,0,0,0,0,dataset/images/maksssksksss121.png,"[89, 34, 35, 35]",0,1
8.151059139,0.974469109,1.424446534,0,0,dataset/images/maksssksksss123.png,"[89, 76, 124, 124]",1,1
4.906891038,1.225821286,0.759289365,0,0,dataset/images/maksssksksss125.png,"[103, 132, 116, 116]",0,1
8.371423062,2.539280197,2.94495864,1.768701834,1.72404752,dataset/images/maksssksksss128.png,"[78, 154, 133, 133]",0,1
0.390350112,0,0,0,0,dataset/images/maksssksksss128.png,"[182, 219, 87, 87]",0,0
0.424410033,0,0,0,0,dataset/images/maksssksksss129.png,"[319, 235, 50, 50]",0,0
-0.186227958,0,0,0,0,dataset/images/maksssksksss129.png,"[231, 138, 86, 86]",0,0
-0.854518854,0,0,0,0,dataset/images/maksssksksss129.png,"[244, 38, 29, 29]",1,1
1.843072107,0,0,0,0,dataset/images/maksssksksss133.png,"[50, 229, 54, 54]",0,0
3.027907164,1.578141958,1.416811084,0,0,dataset/images/maksssksksss135.png,"[140, 57, 136, 136]",1,1
